"Үзүүлэлт","year","value"
"Тээсэн ачаа, мянган тонн - гаргалт","2011-11",443.2
"Тээсэн ачаа, мянган тонн - оруулалт","2011-11",170.7
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2011-11",133.1
"Ачаа эргэлт, сая тонн километр","2011-11",876.1
"Ачаа эргэлт, сая тонн километр - дотоодын","2011-11",246.7
"Ачаа эргэлт, сая тонн километр - гаргалт","2011-11",389.2
"Ачаа эргэлт, сая тонн километр - оруулалт","2011-11",92.4
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2011-11",147.7
"Зорчигчид, мянган хүн","2011-11",337.8
"Зорчигчид, мянган хүн - олон улсад зорчсон","2011-11",14
"Зорчигчид, мянган хүн - дотоодод зорчсон","2011-11",323.8
"Зорчигч эргэлт, сая хүн километр","2011-11",132.7
"Шилжүүлсэн сая тонн километр","2011-11",1008.8
"Тээврийн орлого, сая төгрөг","2011-11",28916.8
"Тээсэн ачаа, мянган тонн","2011-IV",4978.7
"Тээсэн ачаа, мянган тонн - дотоодод","2011-IV",2438.4
"Тээсэн ачаа, мянган тонн - гаргалт","2011-IV",1603.5
"Тээсэн ачаа, мянган тонн - оруулалт","2011-IV",546.5
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2011-IV",390.4
"Ачаа эргэлт, сая тонн километр","2011-IV",2947.7
"Ачаа эргэлт, сая тонн километр - дотоодын","2011-IV",765.1
"Ачаа эргэлт, сая тонн километр - гаргалт","2011-IV",1459
"Ачаа эргэлт, сая тонн километр - оруулалт","2011-IV",290.2
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2011-IV",433.4
"Зорчигчид, мянган хүн","2011-IV",956.9
"Зорчигчид, мянган хүн - олон улсад зорчсон","2011-IV",41.8
"Зорчигчид, мянган хүн - дотоодод зорчсон","2011-IV",915.1
"Зорчигч эргэлт, сая хүн километр","2011-IV",362.2
"Шилжүүлсэн сая тонн километр","2011-IV",3309.8
"Тээврийн орлого, сая төгрөг","2011-IV",102551.1
"Тээсэн ачаа, мянган тонн","2011-12",1724.6
"Тээсэн ачаа, мянган тонн - дотоодод","2011-12",738.3
"Тээсэн ачаа, мянган тонн - гаргалт","2011-12",653.4
"Тээсэн ачаа, мянган тонн - оруулалт","2011-12",208.8
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2011-12",124.1
"Ачаа эргэлт, сая тонн километр","2011-12",1072.5
"Ачаа эргэлт, сая тонн километр - дотоодын","2011-12",222
"Ачаа эргэлт, сая тонн километр - гаргалт","2011-12",605.3
"Ачаа эргэлт, сая тонн километр - оруулалт","2011-12",107.5
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2011-12",137.8
"Зорчигчид, мянган хүн","2011-12",287.9
"Зорчигчид, мянган хүн - олон улсад зорчсон","2011-12",11.3
"Зорчигчид, мянган хүн - дотоодод зорчсон","2011-12",276.6
"Зорчигч эргэлт, сая хүн километр","2011-12",103.7
"Шилжүүлсэн сая тонн километр","2011-12",1176.2
"Тээврийн орлого, сая төгрөг","2011-12",38249.2
"Тээсэн ачаа, мянган тонн","2011",18447.74
"Тээсэн ачаа, мянган тонн - дотоодод","2011",8574.16
"Тээсэн ачаа, мянган тонн - гаргалт","2011",5966.16
"Тээсэн ачаа, мянган тонн - оруулалт","2011",2018.38
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2011",1889.04
"Ачаа эргэлт, сая тонн километр","2011",11418.75
"Ачаа эргэлт, сая тонн километр - дотоодын","2011",2870.18
"Ачаа эргэлт, сая тонн километр - гаргалт","2011",5400.34
"Ачаа эргэлт, сая тонн километр - оруулалт","2011",1051.39
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2011",2096.83
"Зорчигчид, мянган хүн","2011",3832.09
"Зорчигчид, мянган хүн - олон улсад зорчсон","2011",165.31
"Зорчигчид, мянган хүн - дотоодод зорчсон","2011",3666.78
"Зорчигч эргэлт, сая хүн километр","2011",1399.69
"Шилжүүлсэн сая тонн километр","2011",12818.44
"Тээврийн орлого, сая төгрөг","2011",390894.1
"Тээсэн ачаа, мянган тонн","2012-01",1715.7
"Тээсэн ачаа, мянган тонн - дотоодод","2012-01",779.8
"Тээсэн ачаа, мянган тонн - гаргалт","2012-01",639.2
"Тээсэн ачаа, мянган тонн - оруулалт","2012-01",184.6
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-01",112
"Ачаа эргэлт, сая тонн километр","2012-01",1038.9
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-01",226.5
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-01",594.9
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-01",93.2
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-01",124.3
"Зорчигчид, мянган хүн","2012-01",297.1
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-01",10
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-01",287.1
"Зорчигч эргэлт, сая хүн километр","2012-01",107.1
"Шилжүүлсэн сая тонн километр","2012-01",1145.9
"Тээврийн орлого, сая төгрөг","2012-01",36061.9
"Тээсэн ачаа, мянган тонн","2012-02",1604.6
"Тээсэн ачаа, мянган тонн - дотоодод","2012-02",730.2
"Тээсэн ачаа, мянган тонн - гаргалт","2012-02",594.8
"Тээсэн ачаа, мянган тонн - оруулалт","2012-02",162.3
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-02",117.4
"Ачаа эргэлт, сая тонн километр","2012-02",987.4
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-02",212.3
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-02",564.1
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-02",80.8
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-02",130.3
"Зорчигчид, мянган хүн","2012-02",320.7
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-02",9
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-02",311.7
"Зорчигч эргэлт, сая хүн километр","2012-02",101.1
"Шилжүүлсэн сая тонн километр","2012-02",1088.5
"Тээврийн орлого, сая төгрөг","2012-02",31891.7
"Тээсэн ачаа, мянган тонн","2012-I",4950.9
"Тээсэн ачаа, мянган тонн - дотоодод","2012-I",2311.8
"Тээсэн ачаа, мянган тонн - гаргалт","2012-I",1734
"Тээсэн ачаа, мянган тонн - оруулалт","2012-I",507.3
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-I",397.7
"Ачаа эргэлт, сая тонн километр","2012-I",2994.3
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-I",709.9
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-I",1585.1
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-I",257.7
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-I",441.5
"Зорчигчид, мянган хүн","2012-I",916.1
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-I",28.7
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-I",887.4
"Зорчигч эргэлт, сая хүн километр","2012-I",315.9
"Шилжүүлсэн сая тонн километр","2012-I",3310.2
"Тээврийн орлого, сая төгрөг","2012-I",100623.1
"Тээсэн ачаа, мянган тонн","2012-03",1630.6
"Тээсэн ачаа, мянган тонн - дотоодод","2012-03",801.8
"Тээсэн ачаа, мянган тонн - гаргалт","2012-03",500
"Тээсэн ачаа, мянган тонн - оруулалт","2012-03",160.5
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-03",168.4
"Ачаа эргэлт, сая тонн километр","2012-03",968
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-03",271.2
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-03",426.1
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-03",83.8
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-03",186.9
"Зорчигчид, мянган хүн","2012-03",298.2
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-03",9.7
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-03",288.5
"Зорчигч эргэлт, сая хүн километр","2012-03",107.8
"Шилжүүлсэн сая тонн километр","2012-03",1075.8
"Тээврийн орлого, сая төгрөг","2012-03",32669.4
"Тээсэн ачаа, мянган тонн","2012-04",1666.7
"Тээсэн ачаа, мянган тонн - дотоодод","2012-04",794.7
"Тээсэн ачаа, мянган тонн - гаргалт","2012-04",556.3
"Тээсэн ачаа, мянган тонн - оруулалт","2012-04",183.6
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-04",132.1
"Ачаа эргэлт, сая тонн километр","2012-04",1029.6
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-04",287.8
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-04",501.6
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-04",93.6
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-04",146.6
"Зорчигчид, мянган хүн","2012-04",348.4
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-04",10.4
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-04",338
"Зорчигч эргэлт, сая хүн километр","2012-04",124.5
"Шилжүүлсэн сая тонн километр","2012-04",1154
"Тээврийн орлого, сая төгрөг","2012-04",34807.8
"Тээсэн ачаа, мянган тонн","2012-05",1769.5
"Тээсэн ачаа, мянган тонн - дотоодод","2012-05",809.2
"Тээсэн ачаа, мянган тонн - гаргалт","2012-05",614.7
"Тээсэн ачаа, мянган тонн - оруулалт","2012-05",220.4
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-05",125.3
"Ачаа эргэлт, сая тонн километр","2012-05",1099.5
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-05",271.4
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-05",575.2
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-05",113.8
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-05",139.1
"Зорчигчид, мянган хүн","2012-05",335.3
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-05",13.5
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-05",321.9
"Зорчигч эргэлт, сая хүн километр","2012-05",128.8
"Шилжүүлсэн сая тонн километр","2012-05",1228.3
"Тээврийн орлого, сая төгрөг","2012-05",36822.2
"Тээсэн ачаа, мянган тонн","2012-II",4941.3
"Тээсэн ачаа, мянган тонн - дотоодод","2012-II",2299.6
"Тээсэн ачаа, мянган тонн - гаргалт","2012-II",1666.5
"Тээсэн ачаа, мянган тонн - оруулалт","2012-II",601
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-II",374.2
"Ачаа эргэлт, сая тонн километр","2012-II",3075.2
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-II",812.5
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-II",1539.6
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-II",307.7
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-II",415.3
"Зорчигчид, мянган хүн","2012-II",1043.7
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-II",39.7
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-II",1004
"Зорчигч эргэлт, сая хүн километр","2012-II",389.4
"Шилжүүлсэн сая тонн километр","2012-II",3464.6
"Тээврийн орлого, сая төгрөг","2012-II",106073.5
"Тээсэн ачаа, мянган тонн","2012-06",1505.1
"Тээсэн ачаа, мянган тонн - дотоодод","2012-06",695.7
"Тээсэн ачаа, мянган тонн - гаргалт","2012-06",495.5
"Тээсэн ачаа, мянган тонн - оруулалт","2012-06",197.1
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-06",116.8
"Ачаа эргэлт, сая тонн километр","2012-06",946.1
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-06",253.4
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-06",462.8
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-06",100.3
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-06",129.7
"Зорчигчид, мянган хүн","2012-06",360
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-06",15.8
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-06",344.2
"Зорчигч эргэлт, сая хүн километр","2012-06",136.1
"Шилжүүлсэн сая тонн километр","2012-06",1082.3
"Тээврийн орлого, сая төгрөг","2012-06",34443.5
"Тээсэн ачаа, мянган тонн","2012-07",1695.8
"Тээсэн ачаа, мянган тонн - дотоодод","2012-07",654.1
"Тээсэн ачаа, мянган тонн - гаргалт","2012-07",617.6
"Тээсэн ачаа, мянган тонн - оруулалт","2012-07",289.4
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-07",134.7
"Ачаа эргэлт, сая тонн километр","2012-07",1097.3
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-07",247.8
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-07",557.4
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-07",142.6
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-07",149.5
"Зорчигчид, мянган хүн","2012-07",388.9
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-07",18.6
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-07",370.3
"Зорчигч эргэлт, сая хүн километр","2012-07",147.8
"Шилжүүлсэн сая тонн километр","2012-07",1245.1
"Тээврийн орлого, сая төгрөг","2012-07",37401.1
"Тээсэн ачаа, мянган тонн","2012-08",1701.7
"Тээсэн ачаа, мянган тонн - дотоодод","2012-08",834.5
"Тээсэн ачаа, мянган тонн - гаргалт","2012-08",467.3
"Тээсэн ачаа, мянган тонн - оруулалт","2012-08",268.2
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-08",131.6
"Ачаа эргэлт, сая тонн километр","2012-08",974.5
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-08",303.9
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-08",393.5
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-08",131
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-08",146.1
"Зорчигчид, мянган хүн","2012-08",391.9
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-08",21.8
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-08",370.1
"Зорчигч эргэлт, сая хүн километр","2012-08",147.9
"Шилжүүлсэн сая тонн километр","2012-08",1122.3
"Тээврийн орлого, сая төгрөг","2012-08",35900.7
"Тээсэн ачаа, мянган тонн","2012-III",5193.6
"Тээсэн ачаа, мянган тонн - дотоодод","2012-III",2480.7
"Тээсэн ачаа, мянган тонн - гаргалт","2012-III",1542.9
"Тээсэн ачаа, мянган тонн - оруулалт","2012-III",792
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-III",378
"Ачаа эргэлт, сая тонн километр","2012-III",3056.5
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-III",899.4
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-III",1346.9
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-III",390.7
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-III",419.6
"Зорчигчид, мянган хүн","2012-III",1085.2
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-III",58.4
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-III",1026.8
"Зорчигч эргэлт, сая хүн километр","2012-III",409.3
"Шилжүүлсэн сая тонн километр","2012-III",3465.8
"Тээврийн орлого, сая төгрөг","2012-III",106616.6
"Тээсэн ачаа, мянган тонн","2012-09",1796.1
"Тээсэн ачаа, мянган тонн - дотоодод","2012-09",992.1
"Тээсэн ачаа, мянган тонн - гаргалт","2012-09",458
"Тээсэн ачаа, мянган тонн - оруулалт","2012-09",234.4
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-09",111.7
"Ачаа эргэлт, сая тонн километр","2012-09",984.8
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-09",347.7
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-09",396
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-09",117.1
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-09",123.9
"Зорчигчид, мянган хүн","2012-09",304.4
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-09",18
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-09",286.4
"Зорчигч эргэлт, сая хүн километр","2012-09",113.7
"Шилжүүлсэн сая тонн километр","2012-09",1098.4
"Тээврийн орлого, сая төгрөг","2012-09",33314.9
"Тээсэн ачаа, мянган тонн","2012-10",1862.8
"Тээсэн ачаа, мянган тонн - дотоодод","2012-10",998.5
"Тээсэн ачаа, мянган тонн - гаргалт","2012-10",561.9
"Тээсэн ачаа, мянган тонн - оруулалт","2012-10",171.8
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-10",130.6
"Ачаа эргэлт, сая тонн километр","2012-10",1047.2
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-10",321.8
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-10",489.7
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-10",90.8
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-10",144.9
"Зорчигчид, мянган хүн","2012-10",323.3
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-10",17.7
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-10",305.6
"Зорчигч эргэлт, сая хүн километр","2012-10",127.9
"Шилжүүлсэн сая тонн километр","2012-10",1175.1
"Тээврийн орлого, сая төгрөг","2012-10",35931.9
"Тээсэн ачаа, мянган тонн","2012-11",1756.7
"Тээсэн ачаа, мянган тонн - дотоодод","2012-11",882
"Тээсэн ачаа, мянган тонн - гаргалт","2012-11",540.9
"Тээсэн ачаа, мянган тонн - оруулалт","2012-11",203.3
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-11",130.6
"Ачаа эргэлт, сая тонн километр","2012-11",1000.9
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-11",269.9
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-11",479.3
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-11",106.8
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-11",144.9
"Зорчигчид, мянган хүн","2012-11",338.6
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-11",15.1
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-11",323.5
"Зорчигч эргэлт, сая хүн километр","2012-11",133.4
"Шилжүүлсэн сая тонн километр","2012-11",1134.3
"Тээврийн орлого, сая төгрөг","2012-11",35193.2
"Тээсэн ачаа, мянган тонн","2012-IV",5359.4
"Тээсэн ачаа, мянган тонн - дотоодод","2012-IV",2797.7
"Тээсэн ачаа, мянган тонн - гаргалт","2012-IV",1632.2
"Тээсэн ачаа, мянган тонн - оруулалт","2012-IV",545.2
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-IV",384.3
"Ачаа эргэлт, сая тонн километр","2012-IV",3016.7
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-IV",869.9
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-IV",1438
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-IV",282.3
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-IV",426.6
"Зорчигчид, мянган хүн","2012-IV",955
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-IV",43.5
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-IV",911.5
"Зорчигч эргэлт, сая хүн километр","2012-IV",370.8
"Шилжүүлсэн сая тонн километр","2012-IV",3387.5
"Тээврийн орлого, сая төгрөг","2012-IV",103207
"Тээсэн ачаа, мянган тонн","2012-12",1739.9
"Тээсэн ачаа, мянган тонн - дотоодод","2012-12",917.2
"Тээсэн ачаа, мянган тонн - гаргалт","2012-12",529.4
"Тээсэн ачаа, мянган тонн - оруулалт","2012-12",170.1
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012-12",123.2
"Ачаа эргэлт, сая тонн километр","2012-12",968.6
"Ачаа эргэлт, сая тонн километр - дотоодын","2012-12",278.2
"Ачаа эргэлт, сая тонн километр - гаргалт","2012-12",469
"Ачаа эргэлт, сая тонн километр - оруулалт","2012-12",84.7
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012-12",136.7
"Зорчигчид, мянган хүн","2012-12",293.1
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012-12",10.7
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012-12",282.4
"Зорчигч эргэлт, сая хүн километр","2012-12",109.5
"Шилжүүлсэн сая тонн километр","2012-12",1078.2
"Тээврийн орлого, сая төгрөг","2012-12",32081.9
"Тээсэн ачаа, мянган тонн","2012",20445.19
"Тээсэн ачаа, мянган тонн - дотоодод","2012",9889.77
"Тээсэн ачаа, мянган тонн - гаргалт","2012",6575.66
"Тээсэн ачаа, мянган тонн - оруулалт","2012",2445.54
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2012",1534.22
"Ачаа эргэлт, сая тонн километр","2012",12142.74
"Ачаа эргэлт, сая тонн километр - дотоодын","2012",3291.73
"Ачаа эргэлт, сая тонн километр - гаргалт","2012",5909.56
"Ачаа эргэлт, сая тонн километр - оруулалт","2012",1238.47
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2012",1702.98
"Зорчигчид, мянган хүн","2012",4000.04
"Зорчигчид, мянган хүн - олон улсад зорчсон","2012",170.29
"Зорчигчид, мянган хүн - дотоодод зорчсон","2012",3829.75
"Зорчигч эргэлт, сая хүн километр","2012",1485.4
"Шилжүүлсэн сая тонн километр","2012",13628.14
"Тээврийн орлого, сая төгрөг","2012",416520.17
"Тээсэн ачаа, мянган тонн","2013-01",1618
"Тээсэн ачаа, мянган тонн - дотоодод","2013-01",896.9
"Тээсэн ачаа, мянган тонн - гаргалт","2013-01",393.3
"Тээсэн ачаа, мянган тонн - оруулалт","2013-01",212.4
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2013-01",115.3
"Ачаа эргэлт, сая тонн километр","2013-01",825.3
"Ачаа эргэлт, сая тонн километр - дотоодын","2013-01",247.8
"Ачаа эргэлт, сая тонн километр - гаргалт","2013-01",344.2
"Ачаа эргэлт, сая тонн километр - оруулалт","2013-01",105.3
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2013-01",128
"Зорчигчид, мянган хүн","2013-01",309.9
"Зорчигчид, мянган хүн - олон улсад зорчсон","2013-01",12.8
"Зорчигчид, мянган хүн - дотоодод зорчсон","2013-01",297.1
"Зорчигч эргэлт, сая хүн километр","2013-01",114.8
"Шилжүүлсэн сая тонн километр","2013-01",940.1
"Тээврийн орлого, сая төгрөг","2013-01",30229.7
"Тээсэн ачаа, мянган тонн","2013-02",1383
"Тээсэн ачаа, мянган тонн - дотоодод","2013-02",773.1
"Тээсэн ачаа, мянган тонн - гаргалт","2013-02",383.4
"Тээсэн ачаа, мянган тонн - оруулалт","2013-02",116.3
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2013-02",110.2
"Ачаа эргэлт, сая тонн километр","2013-02",726.2
"Ачаа эргэлт, сая тонн километр - дотоодын","2013-02",215
"Ачаа эргэлт, сая тонн километр - гаргалт","2013-02",331.7
"Ачаа эргэлт, сая тонн километр - оруулалт","2013-02",57.2
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2013-02",122.3
"Зорчигчид, мянган хүн","2013-02",300.5
"Зорчигчид, мянган хүн - олон улсад зорчсон","2013-02",8
"Зорчигчид, мянган хүн - дотоодод зорчсон","2013-02",292.5
"Зорчигч эргэлт, сая хүн километр","2013-02",91.7
"Шилжүүлсэн сая тонн километр","2013-02",818
"Тээврийн орлого, сая төгрөг","2013-02",24049.4
"Тээсэн ачаа, мянган тонн","2013-I",4640.6
"Тээсэн ачаа, мянган тонн - дотоодод","2013-I",2498.2
"Тээсэн ачаа, мянган тонн - гаргалт","2013-I",1315.7
"Тээсэн ачаа, мянган тонн - оруулалт","2013-I",452.2
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2013-I",374.5
"Ачаа эргэлт, сая тонн километр","2013-I",2568.9
"Ачаа эргэлт, сая тонн километр - дотоодын","2013-I",746
"Ачаа эргэлт, сая тонн километр - гаргалт","2013-I",1181.9
"Ачаа эргэлт, сая тонн километр - оруулалт","2013-I",225.3
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2013-I",415.7
"Зорчигчид, мянган хүн","2013-I",891.9
"Зорчигчид, мянган хүн - олон улсад зорчсон","2013-I",30
"Зорчигчид, мянган хүн - дотоодод зорчсон","2013-I",861.9
"Зорчигч эргэлт, сая хүн километр","2013-I",307.7
"Шилжүүлсэн сая тонн километр","2013-I",2876.6
"Тээврийн орлого, сая төгрөг","2013-I",87095.2
"Тээсэн ачаа, мянган тонн","2013-03",1639.6
"Тээсэн ачаа, мянган тонн - дотоодод","2013-03",828.1
"Тээсэн ачаа, мянган тонн - гаргалт","2013-03",539
"Тээсэн ачаа, мянган тонн - оруулалт","2013-03",123.5
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2013-03",149
"Ачаа эргэлт, сая тонн километр","2013-03",1017.4
"Ачаа эргэлт, сая тонн километр - дотоодын","2013-03",283.2
"Ачаа эргэлт, сая тонн километр - гаргалт","2013-03",506
"Ачаа эргэлт, сая тонн километр - оруулалт","2013-03",62.8
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2013-03",165.4
"Зорчигчид, мянган хүн","2013-03",281.5
"Зорчигчид, мянган хүн - олон улсад зорчсон","2013-03",9.2
"Зорчигчид, мянган хүн - дотоодод зорчсон","2013-03",272.3
"Зорчигч эргэлт, сая хүн километр","2013-03",101.2
"Шилжүүлсэн сая тонн километр","2013-03",1118.6
"Тээврийн орлого, сая төгрөг","2013-03",32816.1
"Тээсэн ачаа, мянган тонн","2013-04",1686.2
"Тээсэн ачаа, мянган тонн - дотоодод","2013-04",869
"Тээсэн ачаа, мянган тонн - гаргалт","2013-04",472.9
"Тээсэн ачаа, мянган тонн - оруулалт","2013-04",183
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2013-04",161.3
"Ачаа эргэлт, сая тонн километр","2013-04",1005.9
"Ачаа эргэлт, сая тонн километр - дотоодын","2013-04",324
"Ачаа эргэлт, сая тонн километр - гаргалт","2013-04",418.2
"Ачаа эргэлт, сая тонн километр - оруулалт","2013-04",84.7
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2013-04",179
"Зорчигчид, мянган хүн","2013-04",324.1
"Зорчигчид, мянган хүн - олон улсад зорчсон","2013-04",10.3
"Зорчигчид, мянган хүн - дотоодод зорчсон","2013-04",313.8
"Зорчигч эргэлт, сая хүн километр","2013-04",120.9
"Шилжүүлсэн сая тонн километр","2013-04",1126.8
"Тээврийн орлого, сая төгрөг","2013-04",35676
"Тээсэн ачаа, мянган тонн","2013-05",1881.3
"Тээсэн ачаа, мянган тонн - дотоодод","2013-05",919.7
"Тээсэн ачаа, мянган тонн - гаргалт","2013-05",558.7
"Тээсэн ачаа, мянган тонн - оруулалт","2013-05",235.1
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2013-05",167.8
"Ачаа эргэлт, сая тонн километр","2013-05",1116.4
"Ачаа эргэлт, сая тонн километр - дотоодын","2013-05",344.4
"Ачаа эргэлт, сая тонн километр - гаргалт","2013-05",478.9
